,Image Id,Num. of Cells,Per-Cell Area,Centroid,Dens. of Cells
20,E11_11-10,79,1429,"(409.22043386983904, 449.26452064380686)",5.2387823743488e-05
21,E11_11-10,79,1789,"(406.0642817216322, 886.1855785354946)",5.2387823743488e-05
22,E11_11-10,79,3545,"(418.9732016925247, 179.92524682651623)",5.2387823743488e-05
23,E11_11-10,79,1507,"(430.3377571333776, 370.0152621101526)",5.2387823743488e-05
24,E11_11-10,79,184,"(450.5923913043478, 757.625)",5.2387823743488e-05
25,E11_11-10,79,711,"(460.1476793248945, 733.8424753867791)",5.2387823743488e-05
26,E11_11-10,79,123,"(458.780487804878, 751.829268292683)",5.2387823743488e-05
27,E11_11-10,79,3804,"(505.040483701367, 257.5864879074658)",5.2387823743488e-05
28,E11_11-10,79,1476,"(480.4180216802168, 499.08468834688347)",5.2387823743488e-05
29,E11_11-10,79,2928,"(482.6106557377049, 898.5450819672132)",5.2387823743488e-05
30,E11_11-10,79,4995,"(511.38458458458456, 811.4324324324324)",5.2387823743488e-05
31,E11_11-10,79,2806,"(518.611903064861, 432.82216678545973)",5.2387823743488e-05
32,E11_11-10,79,1993,"(514.4179628700451, 350.79026593075764)",5.2387823743488e-05
33,E11_11-10,79,1160,"(526.498275862069, 690.2405172413793)",5.2387823743488e-05
34,E11_11-10,79,3444,"(574.5993031358885, 919.4059233449477)",5.2387823743488e-05
35,E11_11-10,79,804,"(561.0696517412936, 626.6268656716418)",5.2387823743488e-05
36,E11_11-10,79,2775,"(590.9192792792793, 1039.341981981982)",5.2387823743488e-05
37,E11_11-10,79,928,"(584.0797413793103, 805.9924568965517)",5.2387823743488e-05
38,E11_11-10,79,1507,"(606.7027206370273, 761.0364963503649)",5.2387823743488e-05
39,E11_11-10,79,3460,"(629.6361271676301, 198.05838150289017)",5.2387823743488e-05
40,E11_11-10,79,2335,"(646.4680942184154, 477.27323340471094)",5.2387823743488e-05
41,E11_11-10,79,2198,"(636.5773430391265, 794.9890809827116)",5.2387823743488e-05
42,E11_11-10,79,2016,"(645.1969246031746, 882.2271825396825)",5.2387823743488e-05
43,E11_11-10,79,543,"(641.8563535911602, 534.7900552486187)",5.2387823743488e-05
44,E11_11-10,79,611,"(645.0245499181669, 656.8052373158756)",5.2387823743488e-05
45,E11_11-10,79,1635,"(659.1724770642202, 677.7119266055046)",5.2387823743488e-05
46,E11_11-10,79,2013,"(658.9682066567312, 356.1077993045206)",5.2387823743488e-05
47,E11_11-10,79,7120,"(685.8519662921349, 967.3172752808989)",5.2387823743488e-05
48,E11_11-10,79,68,"(660.6617647058823, 641.8529411764706)",5.2387823743488e-05
49,E11_11-10,79,1042,"(713.2619961612284, 71.77927063339732)",5.2387823743488e-05
50,E11_11-10,79,878,"(716.123006833713, 771.7220956719818)",5.2387823743488e-05
51,E11_11-10,79,1670,"(744.9347305389222, 831.0299401197605)",5.2387823743488e-05
52,E11_11-10,79,1352,"(735.8002958579882, 900.0081360946746)",5.2387823743488e-05
53,E11_11-10,79,10253,"(843.9226567833805, 1029.4904905881206)",5.2387823743488e-05
54,E11_11-10,79,1384,"(792.6661849710982, 865.3793352601156)",5.2387823743488e-05
55,E11_11-10,79,2507,"(840.5017949740726, 331.7538891104906)",5.2387823743488e-05
56,E11_11-10,79,1753,"(831.1620079863092, 1148.5715915573303)",5.2387823743488e-05
57,E11_11-10,79,1356,"(835.0014749262536, 852.183628318584)",5.2387823743488e-05
58,E11_11-10,79,2617,"(865.9365685899885, 919.8070309514711)",5.2387823743488e-05
59,E11_11-10,79,2519,"(875.0242159587137, 494.03811036125444)",5.2387823743488e-05
60,E11_11-10,79,1792,"(922.1897321428571, 865.15234375)",5.2387823743488e-05
61,E11_11-10,79,2848,"(931.5396769662922, 491.4311797752809)",5.2387823743488e-05
62,E11_11-10,79,3953,"(936.9440930938528, 1117.27295724766)",5.2387823743488e-05
63,E11_11-10,79,2519,"(933.0444620881302, 729.3822945613339)",5.2387823743488e-05
64,E11_11-10,79,929,"(926.1636167922497, 1015.4187298170075)",5.2387823743488e-05
65,E11_11-10,79,795,"(971.0553459119496, 992.2075471698113)",5.2387823743488e-05
66,E11_11-10,79,1287,"(993.2882672882673, 21.73271173271173)",5.2387823743488e-05
67,E11_11-10,79,2161,"(995.9305876908838, 943.8889403054142)",5.2387823743488e-05
68,E11_11-10,79,3434,"(1012.3558532323821, 602.0547466511357)",5.2387823743488e-05
69,E11_11-10,79,6158,"(1040.8911984410522, 1042.8486521597922)",5.2387823743488e-05
70,E11_11-10,79,3424,"(1028.1320093457944, 898.6422313084112)",5.2387823743488e-05
71,E11_11-10,79,4433,"(1064.9690954207083, 500.2826528310399)",5.2387823743488e-05
72,E11_11-10,79,3962,"(1053.859162039374, 705.2970721857648)",5.2387823743488e-05
73,E11_11-10,79,2822,"(1055.5340184266477, 94.81573352232459)",5.2387823743488e-05
74,E11_11-10,79,1637,"(1077.467318265119, 907.7238851557728)",5.2387823743488e-05
75,E11_11-10,79,1880,"(1085.761170212766, 998.3026595744681)",5.2387823743488e-05
76,E11_11-10,79,2258,"(1099.4419840566873, 856.6306465899025)",5.2387823743488e-05
77,E11_11-10,79,515,"(1104.0504854368933, 612.9631067961164)",5.2387823743488e-05
78,E11_11-10,79,1448,"(1124.736187845304, 921.2810773480663)",5.2387823743488e-05
79,E11_11-10,79,2009,"(1193.8312593330015, 463.6665007466401)",5.2387823743488e-05
1,E11_11-11,75,1288,"(34.96040372670807, 59.95962732919255)",4.9735275705843034e-05
2,E11_11-11,75,4939,"(158.2960113383276, 1040.1939663899575)",4.9735275705843034e-05
3,E11_11-11,75,1709,"(155.6506729081334, 725.1696898771211)",4.9735275705843034e-05
4,E11_11-11,75,3034,"(176.34014502307184, 783.0655899802241)",4.9735275705843034e-05
5,E11_11-11,75,1229,"(176.01627339300245, 654.2384052074858)",4.9735275705843034e-05
6,E11_11-11,75,1696,"(201.93867924528303, 1137.686320754717)",4.9735275705843034e-05
7,E11_11-11,75,1802,"(213.9406215316315, 1025.6104328523863)",4.9735275705843034e-05
8,E11_11-11,75,1261,"(244.03489294210945, 1090.8810467882633)",4.9735275705843034e-05
9,E11_11-11,75,109,"(236.67889908256882, 1132.073394495413)",4.9735275705843034e-05
10,E11_11-11,75,5125,"(259.9707317073171, 744.0591219512195)",4.9735275705843034e-05
11,E11_11-11,75,1614,"(262.4820322180917, 962.0148698884758)",4.9735275705843034e-05
12,E11_11-11,75,5843,"(315.14119459181927, 373.5940441553996)",4.9735275705843034e-05
13,E11_11-11,75,7825,"(353.5496485623003, 553.7905431309904)",4.9735275705843034e-05
14,E11_11-11,75,660,"(363.96060606060604, 249.6409090909091)",4.9735275705843034e-05
15,E11_11-11,75,1372,"(379.1610787172012, 687.8177842565598)",4.9735275705843034e-05
16,E11_11-11,75,719,"(375.50625869262865, 755.9638386648122)",4.9735275705843034e-05
17,E11_11-11,75,5121,"(409.8139035344659, 53.84846709627026)",4.9735275705843034e-05
18,E11_11-11,75,3258,"(421.8842848373235, 314.23449969306324)",4.9735275705843034e-05
19,E11_11-11,75,1820,"(406.35054945054947, 885.0835164835165)",4.9735275705843034e-05
20,E11_11-11,75,1441,"(410.04302567661347, 448.60652324774463)",4.9735275705843034e-05
21,E11_11-11,75,3791,"(419.214455288842, 179.14850962806648)",4.9735275705843034e-05
22,E11_11-11,75,1103,"(431.01631912964643, 366.4687216681777)",4.9735275705843034e-05
23,E11_11-11,75,327,"(461.35168195718654, 738.6758409785933)",4.9735275705843034e-05
24,E11_11-11,75,269,"(458.64684014869886, 753.9888475836432)",4.9735275705843034e-05
25,E11_11-11,75,3882,"(506.6746522411128, 256.69448737764037)",4.9735275705843034e-05
26,E11_11-11,75,1458,"(479.6975308641975, 498.4663923182442)",4.9735275705843034e-05
27,E11_11-11,75,3160,"(482.1316455696203, 903.9088607594937)",4.9735275705843034e-05
28,E11_11-11,75,5202,"(505.7895040369089, 812.657631680123)",4.9735275705843034e-05
29,E11_11-11,75,2810,"(519.5096085409252, 431.73807829181493)",4.9735275705843034e-05
30,E11_11-11,75,1984,"(517.1537298387096, 347.4022177419355)",4.9735275705843034e-05
31,E11_11-11,75,1398,"(528.6280400572246, 686.065808297568)",4.9735275705843034e-05
32,E11_11-11,75,3453,"(572.4332464523603, 919.4109470026065)",4.9735275705843034e-05
33,E11_11-11,75,94,"(558.1489361702128, 626.9468085106383)",4.9735275705843034e-05
34,E11_11-11,75,315,"(565.9555555555555, 625.8539682539682)",4.9735275705843034e-05
35,E11_11-11,75,814,"(584.4140049140049, 806.9299754299755)",4.9735275705843034e-05
36,E11_11-11,75,3076,"(593.3514304291288, 1043.1485695708714)",4.9735275705843034e-05
37,E11_11-11,75,1367,"(607.0870519385516, 759.5969275786393)",4.9735275705843034e-05
38,E11_11-11,75,3538,"(630.0460712266818, 196.86206896551724)",4.9735275705843034e-05
39,E11_11-11,75,2588,"(647.0842349304482, 479.4872488408037)",4.9735275705843034e-05
40,E11_11-11,75,1128,"(634.0336879432624, 531.8652482269504)",4.9735275705843034e-05
41,E11_11-11,75,2191,"(640.9780921953446, 791.9511638521224)",4.9735275705843034e-05
42,E11_11-11,75,1969,"(644.6262061960387, 879.6988318943626)",4.9735275705843034e-05
43,E11_11-11,75,2830,"(653.0763250883392, 671.1678445229682)",4.9735275705843034e-05
44,E11_11-11,75,6657,"(687.2712933753943, 965.3080967402734)",4.9735275705843034e-05
45,E11_11-11,75,1950,"(661.791282051282, 356.7420512820513)",4.9735275705843034e-05
46,E11_11-11,75,1186,"(714.9308600337268, 72.45615514333896)",4.9735275705843034e-05
47,E11_11-11,75,1165,"(718.068669527897, 768.0111587982833)",4.9735275705843034e-05
48,E11_11-11,75,2038,"(747.0358194308145, 834.2801766437684)",4.9735275705843034e-05
49,E11_11-11,75,1900,"(736.6226315789473, 896.9363157894737)",4.9735275705843034e-05
50,E11_11-11,75,10355,"(842.8304200869145, 1025.9151134717529)",4.9735275705843034e-05
51,E11_11-11,75,928,"(798.2715517241379, 861.1842672413793)",4.9735275705843034e-05
52,E11_11-11,75,1891,"(825.723426758329, 1145.6203067160234)",4.9735275705843034e-05
53,E11_11-11,75,2253,"(845.4110075454948, 329.11051930758987)",4.9735275705843034e-05
54,E11_11-11,75,1419,"(840.2804792107117, 852.3960535588443)",4.9735275705843034e-05
55,E11_11-11,75,4439,"(883.0148682135616, 50.85041676053165)",4.9735275705843034e-05
56,E11_11-11,75,2161,"(864.216103655715, 919.211938917168)",4.9735275705843034e-05
57,E11_11-11,75,5997,"(901.4627313656829, 493.21960980490246)",4.9735275705843034e-05
58,E11_11-11,75,4413,"(933.6179469748471, 1117.6408338998415)",4.9735275705843034e-05
59,E11_11-11,75,1648,"(922.4690533980582, 861.8464805825242)",4.9735275705843034e-05
60,E11_11-11,75,2600,"(933.1934615384615, 726.003076923077)",4.9735275705843034e-05
61,E11_11-11,75,528,"(921.1477272727273, 1009.4242424242424)",4.9735275705843034e-05
62,E11_11-11,75,319,"(977.6112852664577, 998.8401253918495)",4.9735275705843034e-05
63,E11_11-11,75,1873,"(997.9151094500801, 940.0197544046983)",4.9735275705843034e-05
64,E11_11-11,75,3343,"(1010.1734968591086, 601.1929404726294)",4.9735275705843034e-05
65,E11_11-11,75,5960,"(1044.9491610738255, 1038.8347315436242)",4.9735275705843034e-05
66,E11_11-11,75,3393,"(1029.140288829944, 898.4367816091954)",4.9735275705843034e-05
67,E11_11-11,75,3950,"(1050.3043037974683, 708.3207594936708)",4.9735275705843034e-05
68,E11_11-11,75,4065,"(1064.8548585485855, 499.53062730627306)",4.9735275705843034e-05
69,E11_11-11,75,2493,"(1058.7858002406738, 97.50060168471721)",4.9735275705843034e-05
70,E11_11-11,75,2098,"(1088.1854146806481, 848.2116301239275)",4.9735275705843034e-05
71,E11_11-11,75,1866,"(1077.635584137192, 908.3617363344051)",4.9735275705843034e-05
72,E11_11-11,75,1844,"(1088.7684381778743, 995.8026030368763)",4.9735275705843034e-05
73,E11_11-11,75,826,"(1096.6380145278451, 616.6174334140436)",4.9735275705843034e-05
74,E11_11-11,75,1421,"(1125.9760731878957, 920.8318085855032)",4.9735275705843034e-05
75,E11_11-11,75,1800,"(1188.6994444444445, 465.08444444444444)",4.9735275705843034e-05
1,E11_11-12,75,1454,"(36.38308115543329, 60.60935350756534)",4.9735275705843034e-05
2,E11_11-12,75,5021,"(153.31706831308503, 1039.5578570005976)",4.9735275705843034e-05
3,E11_11-12,75,1614,"(154.1096654275093, 725.586741016109)",4.9735275705843034e-05
4,E11_11-12,75,1310,"(177.2175572519084, 654.6931297709924)",4.9735275705843034e-05
5,E11_11-12,75,2194,"(196.17593436645396, 774.6494986326345)",4.9735275705843034e-05
6,E11_11-12,75,1517,"(193.0731707317073, 1140.9044166117337)",4.9735275705843034e-05
