,Image Id,Num. of Cells,Per-Cell Area,Centroid,Dens. of Cells
20,Result_U-Net_E11_11-1,67,4050,"(424.10197530864195, 175.56666666666666)",4.443017963055311e-05
21,Result_U-Net_E11_11-1,67,1825,"(411.68657534246574, 892.6394520547946)",4.443017963055311e-05
22,Result_U-Net_E11_11-1,67,1489,"(434.1497649429147, 363.8408327736736)",4.443017963055311e-05
23,Result_U-Net_E11_11-1,67,1558,"(449.790757381258, 599.1328626444159)",4.443017963055311e-05
24,Result_U-Net_E11_11-1,67,4124,"(502.4932104752667, 264.6614936954413)",4.443017963055311e-05
25,Result_U-Net_E11_11-1,67,2953,"(485.76058245851675, 902.1259735861836)",4.443017963055311e-05
26,Result_U-Net_E11_11-1,67,768,"(486.80859375, 500.6796875)",4.443017963055311e-05
27,Result_U-Net_E11_11-1,67,4182,"(510.4239598278336, 819.3385939741751)",4.443017963055311e-05
28,Result_U-Net_E11_11-1,67,3274,"(518.743738546121, 442.47861942577885)",4.443017963055311e-05
29,Result_U-Net_E11_11-1,67,2320,"(514.6103448275862, 346.0853448275862)",4.443017963055311e-05
30,Result_U-Net_E11_11-1,67,1272,"(546.684748427673, 703.0699685534591)",4.443017963055311e-05
31,Result_U-Net_E11_11-1,67,3704,"(571.7842872570194, 915.3882289416847)",4.443017963055311e-05
32,Result_U-Net_E11_11-1,67,465,"(570.5698924731183, 567.5139784946236)",4.443017963055311e-05
33,Result_U-Net_E11_11-1,67,954,"(580.3522012578617, 807.5838574423481)",4.443017963055311e-05
34,Result_U-Net_E11_11-1,67,2979,"(593.4370594159113, 1031.6367908694192)",4.443017963055311e-05
35,Result_U-Net_E11_11-1,67,993,"(604.6314199395771, 758.2356495468277)",4.443017963055311e-05
36,Result_U-Net_E11_11-1,67,4040,"(629.915594059406, 198.97846534653465)",4.443017963055311e-05
37,Result_U-Net_E11_11-1,67,2737,"(648.025940811107, 487.44574351479724)",4.443017963055311e-05
38,Result_U-Net_E11_11-1,67,1718,"(642.0424912689174, 802.4086146682189)",4.443017963055311e-05
39,Result_U-Net_E11_11-1,67,2034,"(646.2531956735496, 883.374139626352)",4.443017963055311e-05
40,Result_U-Net_E11_11-1,67,2333,"(657.0947278182598, 667.0990141448779)",4.443017963055311e-05
41,Result_U-Net_E11_11-1,67,7308,"(689.6735084838533, 968.2865353037766)",4.443017963055311e-05
42,Result_U-Net_E11_11-1,67,1271,"(669.3847364280094, 358.26199842643587)",4.443017963055311e-05
43,Result_U-Net_E11_11-1,67,1310,"(713.4580152671756, 76.6145038167939)",4.443017963055311e-05
44,Result_U-Net_E11_11-1,67,4168,"(739.0278310940499, 871.1960172744722)",4.443017963055311e-05
45,Result_U-Net_E11_11-1,67,1918,"(830.8779979144942, 860.8065693430657)",4.443017963055311e-05
46,Result_U-Net_E11_11-1,67,2258,"(842.5974313551816, 325.90832595217006)",4.443017963055311e-05
47,Result_U-Net_E11_11-1,67,1859,"(836.71920387305, 1155.3738569123184)",4.443017963055311e-05
48,Result_U-Net_E11_11-1,67,10935,"(890.7697302240512, 1083.340923639689)",4.443017963055311e-05
49,Result_U-Net_E11_11-1,67,3381,"(857.678793256433, 917.399290150843)",4.443017963055311e-05
50,Result_U-Net_E11_11-1,67,2305,"(879.3969631236442, 47.560520607375274)",4.443017963055311e-05
51,Result_U-Net_E11_11-1,67,6745,"(907.6255003706449, 494.5476649369904)",4.443017963055311e-05
52,Result_U-Net_E11_11-1,67,1763,"(918.4980147475893, 867.0147475893364)",4.443017963055311e-05
53,Result_U-Net_E11_11-1,67,841,"(918.2021403091558, 1017.013079667063)",4.443017963055311e-05
54,Result_U-Net_E11_11-1,67,2475,"(933.0933333333334, 734.809292929293)",4.443017963055311e-05
55,Result_U-Net_E11_11-1,67,544,"(966.4007352941177, 993.3566176470588)",4.443017963055311e-05
56,Result_U-Net_E11_11-1,67,1223,"(994.4129190515126, 31.97710547833197)",4.443017963055311e-05
57,Result_U-Net_E11_11-1,67,4169,"(1011.3130247061646, 598.5802350683617)",4.443017963055311e-05
58,Result_U-Net_E11_11-1,67,7463,"(1056.4194023850998, 1028.701862521774)",4.443017963055311e-05
59,Result_U-Net_E11_11-1,67,5001,"(1049.493101379724, 906.6908618276344)",4.443017963055311e-05
60,Result_U-Net_E11_11-1,67,4281,"(1064.6110721793973, 507.4926419060967)",4.443017963055311e-05
61,Result_U-Net_E11_11-1,67,3238,"(1055.9570722668313, 705.4734403953057)",4.443017963055311e-05
62,Result_U-Net_E11_11-1,67,2676,"(1057.740284005979, 102.12481315396114)",4.443017963055311e-05
63,Result_U-Net_E11_11-1,67,2924,"(1096.3539671682627, 862.0335157318741)",4.443017963055311e-05
64,Result_U-Net_E11_11-1,67,1119,"(1098.4959785522788, 614.3288650580876)",4.443017963055311e-05
65,Result_U-Net_E11_11-1,67,1741,"(1121.333141872487, 922.606547960942)",4.443017963055311e-05
66,Result_U-Net_E11_11-1,67,1855,"(1184.1924528301886, 1173.1024258760108)",4.443017963055311e-05
67,Result_U-Net_E11_11-1,67,2018,"(1192.1243805748265, 463.3686818632309)",4.443017963055311e-05
1,Result_U-Net_E11_11-10,76,1350,"(36.01259259259259, 57.94814814814815)",5.039841271525427e-05
2,Result_U-Net_E11_11-10,76,6511,"(70.69513131623407, 197.17677776071264)",5.039841271525427e-05
3,Result_U-Net_E11_11-10,76,6351,"(170.07447646039995, 1037.1602897181547)",5.039841271525427e-05
4,Result_U-Net_E11_11-10,76,1851,"(155.3155051323609, 725.3041599135603)",5.039841271525427e-05
5,Result_U-Net_E11_11-10,76,1430,"(167.87832167832167, 789.4923076923077)",5.039841271525427e-05
6,Result_U-Net_E11_11-10,76,1472,"(177.8328804347826, 653.2194293478261)",5.039841271525427e-05
7,Result_U-Net_E11_11-10,76,934,"(191.97323340471092, 1139.2740899357602)",5.039841271525427e-05
8,Result_U-Net_E11_11-10,76,834,"(203.32014388489208, 757.884892086331)",5.039841271525427e-05
9,Result_U-Net_E11_11-10,76,1963,"(259.5771777890983, 1095.9877738155883)",5.039841271525427e-05
10,Result_U-Net_E11_11-10,76,1378,"(260.4158200290276, 704.0043541364296)",5.039841271525427e-05
11,Result_U-Net_E11_11-10,76,1300,"(265.61615384615385, 748.4853846153846)",5.039841271525427e-05
12,Result_U-Net_E11_11-10,76,1349,"(267.27353595255744, 963.5707931801335)",5.039841271525427e-05
13,Result_U-Net_E11_11-10,76,5766,"(315.4953173777315, 369.12816510579256)",5.039841271525427e-05
14,Result_U-Net_E11_11-10,76,890,"(282.62134831460673, 43.938202247191015)",5.039841271525427e-05
15,Result_U-Net_E11_11-10,76,3617,"(337.2195189383467, 532.9588056400332)",5.039841271525427e-05
16,Result_U-Net_E11_11-10,76,912,"(357.9967105263158, 248.52741228070175)",5.039841271525427e-05
17,Result_U-Net_E11_11-10,76,1132,"(377.1351590106007, 594.5547703180212)",5.039841271525427e-05
18,Result_U-Net_E11_11-10,76,1511,"(379.1714096624752, 687.9933818663137)",5.039841271525427e-05
19,Result_U-Net_E11_11-10,76,775,"(378.60387096774195, 756.9187096774193)",5.039841271525427e-05
20,Result_U-Net_E11_11-10,76,5949,"(410.9452008740965, 53.397881996974284)",5.039841271525427e-05
21,Result_U-Net_E11_11-10,76,3508,"(419.73346636259976, 315.33323831242876)",5.039841271525427e-05
22,Result_U-Net_E11_11-10,76,1530,"(410.02222222222224, 450.0888888888889)",5.039841271525427e-05
23,Result_U-Net_E11_11-10,76,2192,"(406.84215328467155, 885.7016423357665)",5.039841271525427e-05
24,Result_U-Net_E11_11-10,76,3862,"(420.29544277576383, 179.85991714137754)",5.039841271525427e-05
25,Result_U-Net_E11_11-10,76,1553,"(433.1577591757888, 368.4655505473278)",5.039841271525427e-05
26,Result_U-Net_E11_11-10,76,940,"(459.6946808510638, 740.5063829787234)",5.039841271525427e-05
27,Result_U-Net_E11_11-10,76,4160,"(505.8495192307692, 259.0588942307692)",5.039841271525427e-05
28,Result_U-Net_E11_11-10,76,2967,"(482.9191102123357, 896.8806875631951)",5.039841271525427e-05
29,Result_U-Net_E11_11-10,76,1365,"(481.71721611721614, 498.26153846153846)",5.039841271525427e-05
30,Result_U-Net_E11_11-10,76,3202,"(517.736414740787, 432.88600874453465)",5.039841271525427e-05
31,Result_U-Net_E11_11-10,76,2392,"(515.5668896321071, 348.5137959866221)",5.039841271525427e-05
32,Result_U-Net_E11_11-10,76,2513,"(520.5308396339037, 823.4389176283327)",5.039841271525427e-05
33,Result_U-Net_E11_11-10,76,1119,"(527.9785522788204, 689.8480786416443)",5.039841271525427e-05
34,Result_U-Net_E11_11-10,76,3554,"(575.343837929094, 918.1024198086662)",5.039841271525427e-05
35,Result_U-Net_E11_11-10,76,707,"(561.8741159830269, 625.7963224893917)",5.039841271525427e-05
36,Result_U-Net_E11_11-10,76,2794,"(589.6671438797423, 1038.6667859699355)",5.039841271525427e-05
37,Result_U-Net_E11_11-10,76,1130,"(583.5654867256637, 806.4141592920354)",5.039841271525427e-05
38,Result_U-Net_E11_11-10,76,1184,"(604.7364864864865, 755.7516891891892)",5.039841271525427e-05
39,Result_U-Net_E11_11-10,76,3989,"(629.3111055402356, 197.09952369014792)",5.039841271525427e-05
40,Result_U-Net_E11_11-10,76,2746,"(645.523670793882, 476.8408594319009)",5.039841271525427e-05
41,Result_U-Net_E11_11-10,76,2158,"(646.387859128823, 880.3660797034291)",5.039841271525427e-05
42,Result_U-Net_E11_11-10,76,2296,"(655.3736933797909, 668.1297909407665)",5.039841271525427e-05
43,Result_U-Net_E11_11-10,76,1743,"(661.1996557659209, 358.815834767642)",5.039841271525427e-05
